company_id,company_name,year,peer_group_name,broad_sector,roe_pct,roce_pct,npm_pct,opm_pct,debt_to_equity,interest_coverage,fcf_cr,fcf_cagr_5y_pct,cfo_pat_ratio,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5y_pct,revenue_cagr_3y_pct,asset_turnover,pe,pb,dividend_yield_pct,dividend_payout_pct,market_cap_cr,net_profit_cr,sales_cr,fcf_positive,de_yoy_change
AXISBANK,Axisbank,2024,Private Banks,Financials,12.11,19.32,11.58,18.58,2.2,7.31,3329.69,9.95,1.834,8.53,9.77,7.55,7.03,0.34,13.0,1.35,0.99,66,185731.67,2477.95,21398.43,1,0.056
BAJAJFINSV,Bajajfinsv,2024,NBFCs & Insurers,Financials,13.54,21.65,12.45,20.15,2.85,8.4,1286.84,11.35,1.744,9.39,10.61,8.78,7.89,0.45,29.96,6.33,1.21,73,206746.39,2879.22,23134.18,1,0.074
BAJAJHLDNG,Bajajhldng,2024,NBFCs & Insurers,Financials,15.26,18.99,9.97,18.37,3.5,14.66,1826.7,12.98,1.256,10.4,7.43,10.29,8.9,0.56,30.64,4.21,0.55,80,232401.64,2505.21,25133.48,1,0.02
BAJFINANCE,Bajfinance,2024,NBFCs & Insurers,Financials,17.25,21.72,11.33,20.43,4.15,10.71,2415.54,14.8,1.385,11.54,8.63,12.08,10.0,0.67,31.32,4.5,0.77,87,262977.95,3101.25,27377.72,1,0.038
BANKBARODA,Bankbaroda,2024,PSU Banks & Financials,Financials,15.3,21.62,9.39,19.19,4.8,4.0,2293.78,5.57,1.395,5.83,7.81,10.66,4.33,0.78,34.94,2.79,0.99,45,241235.96,2446.94,26068.91,1,0.056
BHARTIARTL,Bhartiartl,2024,Industrials & Defence,Communication Services,11.27,20.01,10.29,17.29,0.839,8.46,1798.25,7.01,1.507,6.71,8.68,11.92,5.21,1.694,35.62,3.08,1.21,52,238170.92,2354.97,22891.23,1,0.074
BEL,Bel,2024,Industrials & Defence,Industrials,16.59,19.94,14.37,22.07,0.065,12.39,2986.08,10.95,1.733,23.6,24.6,16.14,10.0,2.059,32.7,2.88,0.55,59,266846.96,4042.87,28130.38,1,0.02
BHEL,Bhel,2024,Industrials & Defence,Industrials,14.63,19.84,12.46,20.86,2.6,11.52,300.0,10.19,1.745,8.69,10.67,14.88,12.59,2.123,36.98,3.64,0.77,66,244994.88,3343.28,26821.45,1,-0.07
BOSCHLTD,Boschltd,2024,Auto & Mobility,Consumer Discretionary,18.25,23.74,11.55,20.65,0.28,16.41,3745.32,13.04,1.312,10.41,8.38,17.81,8.91,1.277,25.84,3.67,0.99,73,298712.36,3524.38,30526.59,1,0.056
BPCL,Bpcl,2024,Energy & Utilities,Energy,17.39,24.42,10.51,20.31,0.408,17.98,3820.16,12.92,1.555,10.36,8.09,17.22,8.86,1.385,17.0,2.43,1.21,80,290838.64,3173.1,30200.81,1,0.074
BRITANNIA,Britannia,2024,FMCG & Consumer Staples,Consumer Staples,13.98,18.06,11.91,18.91,0.0,Debt Free,3436.19,14.73,1.685,11.45,9.21,8.9,9.95,1.615,13.0,1.35,2.25,57,248675.24,3283.92,27580.96,1,0.02
CANBK,Canbk,2024,PSU Banks & Financials,Financials,12.64,18.4,10.55,18.25,2.85,5.1,3425.21,6.06,1.517,6.15,8.91,8.3,4.65,0.67,32.74,5.19,0.77,45,235404.07,2829.49,26826.04,1,0.038
CHOLAFIN,Cholafin,2024,NBFCs & Insurers,Financials,13.89,20.6,11.26,19.66,3.5,6.72,1351.05,7.33,1.622,6.92,9.64,9.35,5.42,0.78,33.42,5.48,0.99,52,255676.77,3198.71,28405.23,1,0.056
CIPLA,Cipla,2024,Pharma & Healthcare,Healthcare,17.71,24.65,14.09,23.19,0.787,12.02,2268.19,10.27,2.003,8.68,11.6,12.36,7.18,2.205,16.0,2.16,3.09,65,312840.67,4550.4,32290.94,1,0.074
COALINDIA,Coalindia,2024,Energy & Utilities,Energy,16.86,20.14,9.48,19.28,0.12,14.31,2344.81,10.2,1.438,8.68,7.16,11.86,7.18,1.174,17.0,2.43,3.37,45,304866.4,3030.35,31974.04,1,0.02
DABUR,Dabur,2024,FMCG & Consumer Staples,Consumer Staples,13.6,19.09,11.0,18.0,0.0,Debt Free,1987.88,12.1,1.573,9.82,8.35,13.64,8.32,1.41,13.0,1.35,2.25,41,263867.7,3243.66,29489.41,1,0.038
DIVISLAB,Divislab,2024,Pharma & Healthcare,Healthcare,15.8,21.98,12.5,20.2,0.0,Debt Free,2614.21,14.0,1.506,10.97,9.55,15.44,9.47,1.645,34.16,3.95,0.99,80,298276.9,3990.45,31921.04,1,0.056
DLF,Dlf,2024,Consumer & Real Estate,Real Estate,16.08,23.48,12.46,20.86,2.05,18.08,1881.47,14.75,1.585,11.51,9.98,16.01,10.0,1.803,26.92,4.5,1.21,87,306477.88,4066.31,32622.86,1,0.074
DMART,Dmart,2024,Consumer & Real Estate,Consumer Discretionary,17.71,20.75,13.46,22.56,0.476,8.5,3417.94,7.81,1.701,23.21,26.61,17.21,10.0,2.263,36.7,2.28,0.55,45,334618.89,4648.86,34539.72,1,0.02
DRREDDY,Drreddy,2024,Pharma & Healthcare,Healthcare,15.83,20.7,11.63,21.43,0.639,9.78,3309.74,7.13,1.715,6.79,10.18,16.09,5.29,2.082,31.22,3.08,0.77,52,311333.97,3872.98,33298.69,1,0.038
EICHERMOT,Eichermot,2024,Auto & Mobility,Consumer Discretionary,15.71,21.91,12.13,19.13,0.0,Debt Free,3517.25,11.06,1.333,9.1,8.63,10.21,7.6,1.307,27.7,2.8,0.99,59,313733.42,4080.43,33636.23,1,0.056
GAIL,Gail,2024,Energy & Utilities,Energy,13.79,21.83,10.29,17.99,0.823,12.91,3402.51,10.39,1.347,8.82,8.04,9.14,7.32,1.374,32.58,3.64,1.21,66,290697.17,3329.99,32362.57,1,0.074
GODREJCP,Godrejcp,2024,FMCG & Consumer Staples,Consumer Staples,15.2,18.94,11.14,19.54,0.116,15.8,3885.9,11.77,1.458,9.67,8.86,10.34,8.17,1.577,33.26,3.93,0.55,73,314755.15,3795.45,34079.52,1,0.02
GRASIM,Grasim,2024,Materials & Cement,Materials,16.67,21.3,12.03,21.13,0.202,17.99,1851.03,13.18,1.569,10.52,9.68,11.53,9.02,1.781,33.64,4.17,0.77,80,340661.22,4311.89,35855.17,1,0.038
HAL,Hal,2024,Industrials & Defence,Industrials,20.1,25.07,14.53,24.33,0.254,20.7,2698.58,15.85,1.739,23.35,27.95,14.2,10.0,2.066,32.1,4.16,0.99,87,398600.4,5722.93,39392.91,1,0.056
HAVELLS,Havells,2024,Industrials & Defence,Industrials,14.56,22.38,14.21,21.21,0.385,7.79,1930.39,7.97,1.808,7.24,11.67,14.48,11.14,2.211,34.88,2.34,1.21,45,317863.32,4953.51,34851.95,1,-0.02
HCLTECH,Hcltech,2024,IT Services,Information Technology,16.6,19.95,11.98,19.68,0.0,Debt Free,2527.5,9.76,1.328,18.41,24.61,16.15,10.0,1.299,25.0,2.54,0.55,52,352342.16,4448.64,37137.51,1,0.02
HDFCBANK,Hdfcbank,2024,Private Banks,Financials,14.19,19.52,9.7,18.1,3.5,5.65,2324.17,8.7,1.526,7.77,7.66,14.54,6.27,0.67,15.0,1.89,2.81,41,567999.27,4986.46,51420.85,1,0.038
HDFCLIFE,Hdfclife,2024,NBFCs & Insurers,Financials,15.79,21.97,10.71,19.81,4.15,10.41,2842.01,10.24,1.443,8.72,8.61,15.93,7.22,0.78,30.38,3.64,0.99,66,348551.1,3996.73,37310.06,1,0.056
HEROMOTOCO,Heromotoco,2024,Auto & Mobility,Consumer Discretionary,17.43,24.45,11.76,21.56,0.816,15.72,3367.46,11.8,1.56,9.69,9.58,17.37,8.19,1.768,31.06,3.93,1.21,73,378147.67,4615.89,39237.29,1,0.074
HINDALCO,Hindalco,2024,Materials & Cement,Materials,12.98,17.35,12.3,19.3,2.25,15.22,1818.21,12.92,1.659,10.36,10.19,8.22,8.86,1.955,31.74,4.21,0.55,80,315367.41,4390.19,35686.19,1,0.02
HINDUNILVR,Hindunilvr,2024,FMCG & Consumer Staples,Consumer Staples,17.2,21.69,15.45,23.15,0.0,Debt Free,3786.79,16.09,2.052,12.23,12.28,11.45,10.0,2.272,14.0,1.62,2.53,75,536786.29,8640.44,55933.95,1,0.038
ICICIBANK,Icicibank,2024,Private Banks,Financials,13.15,20.07,8.23,16.63,3.5,3.01,3286.3,5.61,1.394,5.85,6.44,8.71,4.35,0.34,15.0,1.89,2.81,35,570390.79,4338.67,52731.51,1,0.056
ICICIGI,Icicigi,2024,NBFCs & Insurers,Financials,15.18,22.83,9.62,18.72,4.15,6.46,3882.22,7.47,1.324,7.02,7.66,10.53,5.52,0.45,36.72,3.08,1.21,52,360159.08,3753.75,39011.1,1,0.074
ICICIPRULI,Icicipruli,2024,NBFCs & Insurers,Financials,16.2,19.66,10.13,19.93,4.8,8.03,1765.56,8.56,1.422,7.67,8.24,11.35,6.17,0.56,37.4,3.36,0.55,59,380179.62,4089.91,40377.8,1,0.02
INDUSINDBK,Indusindbk,2024,Private Banks,Financials,12.39,18.22,11.22,18.22,2.2,7.36,1309.94,10.16,1.541,8.67,9.25,12.83,7.17,0.67,28.18,6.04,0.77,66,326496.86,4197.87,37399.68,1,0.038
INFY,Infy,2024,IT Services,Information Technology,17.08,22.9,14.78,22.48,0.0,Debt Free,2384.04,13.68,1.748,23.72,24.72,16.54,10.0,2.079,25.74,3.51,0.99,73,402781.94,6218.3,42070.21,1,0.056
IOC,Ioc,2024,Energy & Utilities,Energy,15.62,23.15,13.28,21.68,0.808,17.18,2351.5,13.25,1.774,10.58,11.16,15.65,9.08,2.164,29.54,4.21,1.21,80,383703.63,5473.44,41207.5,1,0.074
IRCTC,Irctc,2024,Industrials & Defence,Industrials,16.67,20.0,10.21,19.31,0.1,19.98,2769.77,14.36,1.265,11.25,7.56,16.5,9.75,1.211,30.22,4.5,0.55,87,404678.99,4350.81,42598.83,1,0.02
IRFC,Irfc,2024,PSU Banks & Financials,Financials,15.43,20.41,8.9,18.7,4.8,4.04,2777.09,5.67,1.298,5.89,7.19,15.79,4.39,0.23,33.84,2.79,0.77,45,389038.95,3732.15,41935.45,1,0.038
ITC,Itc,2024,FMCG & Consumer Staples,Consumer Staples,14.96,21.37,12.75,19.75,0.0,Debt Free,2923.11,9.45,1.716,8.16,9.79,9.82,6.66,1.658,13.0,1.35,2.25,57,650118.17,7392.93,57965.55,1,0.056
JINDALSTEL,Jindalstel,2024,Materials & Cement,Materials,13.33,21.5,11.11,18.81,2.05,9.79,1859.01,8.89,1.537,7.89,9.21,8.78,11.0,1.736,35.2,3.36,1.21,59,364456.83,4549.77,40950.11,1,-0.045
JIOFIN,Jiofin,2024,PSU Banks & Financials,Financials,14.62,18.52,11.85,20.25,3.5,10.7,3320.79,10.18,1.643,23.49,25.69,9.86,10.0,0.56,35.88,6.04,0.55,66,388550.8,5041.75,42553.93,1,0.02
JSWENERGY,Jswenergy,2024,Energy & Utilities,Energy,16.4,21.11,13.03,22.13,2.6,13.86,2517.25,11.85,1.765,9.72,11.03,11.44,13.62,2.151,36.56,3.93,0.77,73,421717.47,5812.41,44613.47,1,-0.095
JSWSTEEL,Jswsteel,2024,Materials & Cement,Materials,17.65,23.3,10.13,19.93,0.708,17.77,4326.21,13.12,1.262,10.49,7.55,12.48,8.99,1.207,27.34,4.21,0.99,80,446857.09,4678.37,46181.03,1,0.056
KOTAKBANK,Kotakbank,2024,Private Banks,Financials,13.79,21.83,11.19,18.19,2.2,11.29,1332.83,14.68,1.58,11.46,8.53,13.92,9.96,0.89,13.0,1.35,1.21,87,387736.28,4829.23,43164.15,1,0.074
LICI,Lici,2024,PSU Banks & Financials,Financials,12.02,16.65,9.4,17.1,2.85,4.94,1243.51,5.59,1.396,5.84,7.82,12.68,4.34,0.12,31.64,5.19,0.55,45,364019.55,3951.57,42017.56,1,0.02
LODHA,Lodha,2024,Consumer & Real Estate,Real Estate,14.23,19.55,10.96,19.36,2.05,8.11,1216.55,7.58,1.531,7.09,9.15,14.69,5.59,1.728,32.32,3.08,0.77,52,402861.65,4870.56,44458.06,1,0.038
LT,Lt,2024,Industrials & Defence,Industrials,17.94,23.52,13.67,22.77,0.28,12.53,2769.33,10.41,1.908,8.75,10.99,17.5,7.25,2.024,16.0,2.16,0.99,59,469407.3,6596.82,48246.64,1,0.056
LTIM,Ltim,2024,IT Services,Information Technology,19.05,25.62,14.27,24.07,0.0,Debt Free,3198.89,11.59,1.81,24.69,27.99,18.45,10.0,2.213,31.1,3.3,1.21,66,493410.85,7090.52,49694.46,1,0.074
M&M,M&M,2024,Auto & Mobility,Consumer Discretionary,14.38,18.36,11.07,18.07,0.489,15.26,2589.06,12.66,1.295,10.18,8.1,9.36,11.68,1.254,32.92,3.74,0.55,73,417599.52,5087.62,45945.3,1,-0.02
MARUTI,Maruti,2024,Auto & Mobility,Consumer Discretionary,14.75,19.92,11.06,18.76,0.0,Debt Free,2885.17,13.36,1.575,10.63,8.42,9.75,13.33,1.663,14.0,1.62,0.77,80,427783.22,5166.52,46725.86,1,-0.045
MOTHERSON,Motherson,2024,Auto & Mobility,Consumer Discretionary,15.87,22.03,11.68,20.08,0.7,19.24,3316.33,14.59,1.477,11.4,9.15,10.8,15.3,1.604,35.72,4.5,0.99,87,450803.39,5626.98,48181.65,1,-0.07
NAUKRI,Naukri,2024,IT Services,Information Technology,17.53,24.52,12.72,21.82,0.0,Debt Free,3844.99,7.71,1.594,22.02,26.72,12.12,10.0,1.816,35.96,2.33,1.21,45,483956.09,6374.9,50124.96,1,0.074
NESTLEIND,Nestleind,2024,FMCG & Consumer Staples,Consumer Staples,20.19,22.53,14.59,24.39,0.0,Debt Free,4553.4,9.89,1.941,8.36,11.44,14.23,6.86,2.069,17.0,2.43,3.37,69,536735.51,7726.48,52966.99,1,0.02
NHPC,Nhpc,2024,Energy & Utilities,Energy,12.18,18.07,12.26,19.26,0.231,11.14,3341.91,8.85,1.738,7.86,10.58,12.73,6.36,2.113,30.8,3.36,0.77,59,401649.53,5665.93,46209.57,1,0.038
NTPC,Ntpc,2024,Energy & Utilities,Energy,14.13,20.78,9.97,17.67,0.316,13.45,1394.22,10.6,1.256,8.94,7.48,14.37,11.0,1.198,31.06,3.59,0.99,66,437931.22,4826.49,48421.11,1,-0.045
ONGC,Ongc,2024,Energy & Utilities,Energy,14.88,22.62,10.27,18.67,0.42,15.44,1759.17,11.56,1.547,9.54,8.0,15.08,12.24,1.374,15.0,1.89,2.81,51,454789.78,5090.21,49545.85,1,-0.07
PFC,Pfc,2024,PSU Banks & Financials,Financials,16.53,19.9,11.32,20.42,4.15,14.4,2285.49,13.1,1.464,10.48,8.94,16.47,14.38,0.56,32.84,4.21,0.55,80,487774.35,5825.87,51477.46,1,-0.095
PIDILITIND,Pidilitind,2024,Materials & Cement,Materials,19.45,23.3,13.41,23.21,0.0,Debt Free,3040.89,15.46,1.819,22.22,28.12,18.79,10.0,1.85,17.0,2.43,0.77,87,545592.56,7313.4,54554.43,1,0.038
PNB,Pnb,2024,PSU Banks & Financials,Financials,11.18,18.65,10.83,17.83,2.2,5.31,1781.53,5.78,1.607,5.97,9.38,6.94,4.47,0.78,37.14,5.19,0.99,45,404788.1,5149.66,47557.64,1,0.056
POWERGRID,Powergrid,2024,Energy & Utilities,Energy,13.9,21.91,12.74,20.44,0.809,9.15,2502.18,7.99,1.955,7.28,10.78,9.05,5.78,2.137,14.0,1.62,2.53,75,454257.95,6431.05,50460.89,1,0.074
RECLTD,Recltd,2024,PSU Banks & Financials,Financials,14.18,18.21,9.09,17.49,3.5,8.69,2781.77,8.69,1.224,7.76,6.95,9.53,6.26,0.12,28.6,5.76,0.55,59,463078.34,4648.14,51158.86,1,0.02
RELIANCE,Reliance,2024,Energy & Utilities,Energy,16.84,21.43,10.96,20.06,0.198,14.23,3491.29,10.88,1.571,9.07,8.35,11.64,7.57,1.408,16.0,2.16,3.09,41,814047.87,7673.03,70006.47,1,0.038
SBILIFE,Sbilife,2024,NBFCs & Insurers,Financials,17.27,23.03,11.02,20.82,4.8,12.1,3798.14,11.68,1.454,9.6,8.78,12.21,8.1,0.34,29.96,3.93,0.99,73,526916.99,6044.27,54840.69,1,0.056
SHREECEM,Shreecem,2024,Materials & Cement,Materials,15.27,22.89,13.58,20.58,0.365,17.49,3668.5,14.39,1.825,11.21,10.55,14.92,9.71,1.859,13.0,1.35,2.25,53,494725.32,7264.02,53492.5,1,0.074
SHRIRAMFIN,Shriramfin,2024,NBFCs & Insurers,Financials,15.04,18.83,13.12,20.82,2.85,17.1,3857.81,14.8,1.689,11.54,10.72,15.07,10.0,0.56,31.32,4.5,0.55,87,494818.77,7050.14,53739.04,1,0.02
SIEMENS,Siemens,2024,Industrials & Defence,Industrials,16.98,21.53,14.37,22.77,0.0,Debt Free,1906.47,8.06,2.013,7.26,11.7,16.52,5.76,2.219,15.0,1.89,2.81,65,534516.12,8037.68,55932.36,1,0.038
SUNPHARMA,Sunpharma,2024,Pharma & Healthcare,Healthcare,17.21,22.99,10.66,19.76,0.0,Debt Free,2178.52,8.7,1.481,7.68,7.79,16.86,6.18,1.233,16.0,2.16,3.09,35,543205.0,6030.5,56592.59,1,0.056
TATACONSUM,Tataconsum,2024,FMCG & Consumer Staples,Consumer Staples,16.72,23.94,9.99,19.79,0.831,11.73,2320.04,8.95,1.537,7.94,7.87,16.87,6.44,1.359,17.0,2.43,3.37,41,538270.19,5653.45,56600.2,1,0.074
TATAMOTORS,Tatamotors,2024,Auto & Mobility,Consumer Discretionary,12.11,16.72,10.38,17.38,0.123,13.12,1720.03,9.95,1.431,8.53,8.37,7.56,7.03,1.789,36.98,3.64,0.55,66,459175.2,5491.97,52900.17,1,0.02
TATAPOWER,Tatapower,2024,Energy & Utilities,Energy,14.19,19.51,11.81,19.51,2.05,13.8,1510.36,11.84,1.562,9.71,9.62,9.43,11.21,1.771,27.76,3.93,0.77,73,499925.05,6523.2,55218.17,1,-0.045
TATASTEEL,Tatasteel,2024,Materials & Cement,Materials,15.16,21.52,12.28,20.68,2.25,15.77,1774.18,12.9,1.659,10.35,10.17,10.2,13.05,1.954,28.44,4.21,0.99,80,521905.61,6946.33,56547.52,1,-0.07
TCS,Tcs,2024,IT Services,Information Technology,33.5,36.02,15.76,24.86,0.0,Debt Free,6260.0,16.36,1.863,24.81,26.91,13.81,10.0,2.288,26.0,4.08,1.21,78,1368150.7,14106.34,89500.0,1,0.074
TECHM,Techm,2024,IT Services,Information Technology,19.13,21.78,11.35,21.15,0.0,Debt Free,3904.11,8.08,1.306,18.42,28.22,13.59,10.0,1.268,29.14,2.31,0.55,45,606795.34,6928.71,61020.56,1,0.02
TITAN,Titan,2024,Consumer & Real Estate,Consumer Discretionary,16.04,20.85,13.02,20.02,0.0,Debt Free,3577.27,10.11,1.445,19.71,23.41,15.54,10.0,1.511,38.8,2.46,0.77,52,550904.28,7642.62,58686.33,1,0.038
TORNTPHARM,Torntpharm,2024,Pharma & Healthcare,Healthcare,16.17,22.24,12.81,20.51,0.667,11.74,3830.54,10.65,1.518,8.87,9.74,15.75,7.37,1.661,30.62,2.9,0.99,59,557599.55,7590.83,59252.68,1,0.056
TRENT,Trent,2024,Consumer & Real Estate,Consumer Discretionary,19.11,25.66,14.94,23.34,0.736,14.32,4590.16,13.06,1.673,22.3,25.8,18.17,10.0,2.177,40.04,3.01,1.21,66,619777.08,9312.41,62350.81,1,0.074
TVSMOTOR,Tvsmotor,2024,Auto & Mobility,Consumer Discretionary,18.39,21.24,14.05,23.15,0.0,Debt Free,2159.4,13.11,1.722,23.71,27.11,17.89,10.0,2.042,33.3,3.64,0.55,73,609625.13,8731.58,62147.02,1,0.02
ULTRACEMCO,Ultracemco,2024,Materials & Cement,Materials,18.43,22.57,13.79,23.59,0.198,18.43,2397.1,13.65,1.792,10.81,11.46,18.13,9.31,2.189,35.6,4.14,0.77,80,614899.24,8635.75,62635.51,1,0.038
UNIONBANK,Unionbank,2024,PSU Banks & Financials,Financials,13.55,20.36,10.38,17.38,2.2,17.31,1749.74,14.5,1.271,11.34,7.68,8.68,9.84,0.34,26.92,6.9,0.99,87,524750.74,6092.09,58698.68,1,0.056
INDIGO,Indigo,2024,Auto & Mobility,Consumer Discretionary,12.04,20.57,8.83,16.53,0.446,7.11,1707.85,5.61,1.295,19.35,24.25,7.7,22.05,1.551,30.54,2.79,1.21,45,500908.23,5100.27,57789.23,1,-0.045
